,locality,postcode,kitchen_has,furnished,facades_number
0,4180,4180.0,1,0,-999
1,8730,8730.0,1,0,-999
2,4020,4020.0,1,0,-999
3,1200,1200.0,1,1,-999
4,1190,1190.0,1,0,-999
5,4040,4040.0,1,0,-999
6,4540,4540.0,1,0,-999
7,1150,1150.0,1,0,-999
8,6870,6870.0,1,0,-999
9,4030,4030.0,1,0,-999
10,9600,9600.0,1,0,-999
11,1030,1030.0,1,0,-999
12,4500,4500.0,1,0,-999
13,4500,4500.0,1,0,-999
14,1200,1200.0,1,0,-999
15,3270,3270.0,1,0,-999
16,6760,6760.0,1,0,-999
17,9290,9290.0,1,0,-999
18,8000,8000.0,1,0,-999
19,1140,1140.0,0,0,-999
20,8000,8000.0,1,0,-999
21,6940,6940.0,1,0,-999
22,4671,4671.0,1,0,-999
23,4020,4020.0,1,0,-999
24,1000,1000.0,1,0,-999
25,1000,1000.0,1,0,-999
26,1000,1000.0,1,0,-999
27,1070,1070.0,1,0,-999
28,6030,6030.0,1,0,-999
29,1030,1030.0,1,0,-999
30,1090,1090.0,1,0,-999
31,1050,1050.0,1,0,-999
32,1000,1000.0,1,1,-999
33,1050,1050.0,0,0,-999
34,1070,1070.0,1,0,-999
35,1150,1150.0,1,0,-999
36,5070,5070.0,1,0,-999
37,6980,6980.0,1,0,-999
38,6840,6840.0,1,0,-999
39,9170,9170.0,1,0,-999
40,8000,8000.0,1,0,-999
41,9200,9200.0,1,0,-999
42,1150,1150.0,1,0,-999
43,4300,4300.0,1,0,-999
44,8370,8370.0,1,0,-999
45,1020,1020.0,0,0,-999
46,1090,1090.0,0,0,-999
47,1150,1150.0,1,0,-999
48,1040,1040.0,0,0,-999
49,9000,9000.0,1,0,-999
50,9000,9000.0,1,0,-999
51,1200,1200.0,1,0,-999
52,4500,4500.0,1,0,-999
53,5140,5140.0,1,0,-999
54,6000,6000.0,1,0,-999
55,6180,6180.0,1,0,-999
56,9170,9170.0,1,0,-999
57,4020,4020.0,1,0,-999
58,1300,1300.0,1,0,-999
59,6950,6950.0,1,0,-999
60,3270,3270.0,1,0,-999
61,1700,1700.0,1,0,-999
62,1300,1300.0,1,1,-999
63,1348,1348.0,1,1,-999
64,6230,6230.0,1,0,-999
65,4870,4870.0,1,0,-999
66,9550,9550.0,0,0,-999
67,8000,8000.0,1,0,-999
68,8310,8310.0,1,0,-999
69,6600,6600.0,1,0,-999
70,1030,1030.0,1,0,-999
71,3890,3890.0,1,0,-999
72,5100,5100.0,1,0,-999
73,4000,4000.0,1,0,-999
74,1702,1702.0,1,0,-999
75,1000,1000.0,1,0,-999
76,1200,1200.0,0,0,-999
77,7060,7060.0,1,0,-999
78,1000,1000.0,1,1,-999
79,9000,9000.0,1,0,-999
80,4020,4020.0,1,0,-999
81,8450,8450.0,1,0,-999
82,2018,2018.0,1,0,-999
83,9000,9000.0,1,0,-999
84,1950,1950.0,1,0,-999
85,4920,4920.0,1,0,-999
86,8470,8470.0,0,0,-999
87,1800,1800.0,1,0,-999
88,8370,8370.0,1,0,-999
89,3000,3000.0,1,0,-999
90,4500,4500.0,1,0,-999
91,6831,6831.0,1,0,-999
92,9600,9600.0,1,0,-999
93,7700,7700.0,1,0,-999
94,6767,6767.0,1,0,-999
95,9230,9230.0,1,0,-999
96,1180,1180.0,1,0,-999
97,9300,9300.0,1,0,-999
98,9300,9300.0,1,0,-999
99,3020,3020.0,1,0,-999
100,1040,1040.0,0,0,-999
101,1200,1200.0,1,0,-999
102,2390,2390.0,1,0,-999
103,1400,1400.0,1,0,-999
104,3900,3900.0,1,0,-999
105,1080,1080.0,0,0,-999
106,4000,4000.0,1,0,-999
107,4000,4000.0,1,0,-999
108,1190,1190.0,1,0,-999
109,6600,6600.0,1,0,-999
110,8000,8000.0,1,0,-999
111,2830,2830.0,1,0,-999
112,1400,1400.0,0,0,-999
113,1000,1000.0,1,0,-999
114,9060,9060.0,1,0,-999
115,1000,1000.0,1,0,-999
116,2100,2100.0,1,0,-999
117,6880,6880.0,1,0,-999
118,6630,6630.0,1,0,-999
119,9660,9660.0,1,0,-999
120,2830,2830.0,1,0,-999
121,6830,6830.0,1,0,-999
122,3040,3040.0,1,0,-999
123,8850,8850.0,1,0,-999
124,2880,2880.0,1,0,-999
125,1780,1780.0,1,0,-999
126,9308,9308.0,1,0,-999
127,9040,9040.0,1,0,-999
128,1150,1150.0,0,0,-999
129,2018,2018.0,1,1,-999
130,2060,2060.0,1,0,-999
131,6870,6870.0,1,0,-999
132,6460,6460.0,1,0,-999
133,2660,2660.0,1,0,-999
134,9600,9600.0,1,0,-999
135,1180,1180.0,1,0,-999
136,9000,9000.0,1,1,-999
137,1000,1000.0,1,0,-999
138,1050,1050.0,0,0,-999
139,3390,3390.0,1,0,-999
140,1040,1040.0,1,0,-999
141,9160,9160.0,1,0,-999
142,5575,5575.0,1,0,-999
143,4031,4031.0,1,0,-999
144,1435,1435.0,1,0,-999
145,1435,1435.0,1,0,-999
146,6700,6700.0,1,0,-999
147,1190,1190.0,0,0,-999
148,2830,2830.0,1,0,-999
149,1000,1000.0,1,0,-999
150,3020,3020.0,1,0,-999
151,1030,1030.0,1,0,-999
152,1500,1500.0,1,0,-999
153,9900,9900.0,1,0,-999
154,8700,8700.0,1,0,-999
155,9200,9200.0,1,0,-999
156,3290,3290.0,1,0,-999
157,8930,8930.0,1,0,-999
158,6230,6230.0,1,0,-999
159,8450,8450.0,1,0,-999
160,9240,9240.0,1,0,-999
161,2930,2930.0,1,0,-999
162,3040,3040.0,1,0,-999
163,4620,4620.0,0,0,-999
164,1080,1080.0,1,0,-999
165,9940,9940.0,1,0,-999
166,7850,7850.0,1,0,-999
167,2018,2018.0,1,0,-999
168,1160,1160.0,1,1,-999
169,9200,9200.0,1,0,-999
170,6230,6230.0,1,0,-999
171,6238,6238.0,1,0,-999
172,5590,5590.0,1,0,-999
173,6700,6700.0,1,0,-999
174,8660,8660.0,1,0,-999
175,1000,1000.0,1,0,-999
176,8790,8790.0,1,0,-999
177,9900,9900.0,0,0,-999
