Aalter; Aalter; Commune; Province de Flandre-Orientale
Aerschot; Aarschot; Ville; Province du Brabant flamand
Aartselaar; Aartselaar; Commune; Province d'Anvers
Affligem; Affligem; Commune; Province du Brabant flamand
Alken; Alken; Commune; Province de Limbourg
Alost; Aalst; Ville; Province de Flandre-Orientale
Alveringem; Alveringem; Commune; Province de Flandre-Occidentale
Anvers; Antwerpen; Ville; Province d'Anvers
Anzegem; Anzegem; Commune; Province de Flandre-Occidentale
Ardoye; Ardooie; Commune; Province de Flandre-Occidentale
Arendonk; Arendonk; Commune; Province d'Anvers
As; As; Commune; Province de Limbourg
Asse; Asse; Commune; Province du Brabant flamand
Assenede; Assenede; Commune; Province de Flandre-Orientale
Audenarde; Oudenaarde; Ville; Province de Flandre-Orientale
Avelgem; Avelgem; Commune; Province de Flandre-Occidentale
Baerle-Duc; Baarle-Hertog; Commune; Province d'Anvers
Balen; Balen; Commune; Province d'Anvers
Beernem; Beernem; Commune; Province de Flandre-Occidentale
Beerse; Beerse; Commune; Province d'Anvers
Beersel; Beersel; Commune; Province du Brabant flamand
Begijnendijk; Begijnendijk; Commune; Province du Brabant flamand
Bekkevoort; Bekkevoort; Commune; Province du Brabant flamand
Béringue; Beringen; Ville; Province de Limbourg
Berlaar; Berlaar; Commune; Province d'Anvers
Berlare; Berlare; Commune; Province de Flandre-Orientale
Bertem; Bertem; Commune; Province du Brabant flamand
Beveren; Beveren; Commune; Province de Flandre-Orientale
Bierbeek; Bierbeek; Commune; Province du Brabant flamand
Biévène; Bever; Commune à facilités; Province du Brabant flamand
Bilzen; Bilzen; Ville; Province de Limbourg
Blankenberghe; Blankenberge; Ville; Province de Flandre-Occidentale
Bocholt; Bocholt; Commune; Province de Limbourg
Boechout; Boechout; Commune; Province d'Anvers
Bonheiden; Bonheiden; Commune; Province d'Anvers
Boom; Boom; Commune; Province d'Anvers
Boortmeerbeek; Boortmeerbeek; Commune; Province du Brabant flamand
Looz; Borgloon; Ville; Province de Limbourg
Bornem; Bornem; Commune; Province d'Anvers
Borsbeek; Borsbeek; Commune; Province d'Anvers
Bourg-Léopold; Leopoldsburg; Commune; Province de Limbourg
Boutersem; Boutersem; Commune; Province du Brabant flamand
Brakel; Brakel; Commune; Province de Flandre-Orientale
Brasschaat; Brasschaat; Commune; Province d'Anvers
Brecht; Brecht; Commune; Province d'Anvers
Bredene; Bredene; Commune; Province de Flandre-Occidentale
Brée; Bree; Ville; Province de Limbourg
Bruges; Brugge; Ville; Province de Flandre-Occidentale
Buggenhout; Buggenhout; Commune; Province de Flandre-Orientale
Calmpthout; Kalmthout; Commune; Province d'Anvers
Le Coq; De Haan; Commune; Province de Flandre-Occidentale
Cortenbergh; Kortenberg; Commune; Province du Brabant flamand
Courtrai; Kortrijk; Ville; Province de Flandre-Occidentale
Coxyde; Koksijde; Commune; Province de Flandre-Occidentale
Crainhem; Kraainem; Commune à facilités; Province du Brabant flamand
Damme; Damme; Ville; Province de Flandre-Occidentale
La Pinte; De Pinte; Commune; Province de Flandre-Orientale
Deerlijk; Deerlijk; Commune; Province de Flandre-Occidentale
Deinze; Deinze; Ville; Province de Flandre-Orientale
Denderleeuw; Denderleeuw; Commune; Province de Flandre-Orientale
Dentergem; Dentergem; Commune; Province de Flandre-Occidentale
Dessel; Dessel; Commune; Province d'Anvers
Destelbergen; Destelbergen; Commune; Province de Flandre-Orientale
Diepenbeek; Diepenbeek; Commune; Province de Limbourg
Diest; Diest; Ville; Province du Brabant flamand
Dilbeek; Dilbeek; Commune; Province du Brabant flamand
Dilsen-Stokkem; Dilsen-Stokkem; Ville; Province de Limbourg
Dixmude; Diksmuide; Ville; Province de Flandre-Occidentale
Drogenbos; Drogenbos; Commune à facilités; Province du Brabant flamand
Duffel; Duffel; Commune; Province d'Anvers
Edegem; Edegem; Commune; Province d'Anvers
Eeklo; Eeklo; Ville; Province de Flandre-Orientale
Erpe-Mere; Erpe-Mere; Commune; Province de Flandre-Orientale
Espierres-Helchin; Spiere-Helkijn; Commune à facilités; Province de Flandre-Occidentale
Essen; Essen; Commune; Province d'Anvers
Everghem; Evergem; Commune; Province de Flandre-Orientale
Fourons; Voeren; Commune à facilités; Province de Limbourg
Furnes; Veurne; Ville; Province de Flandre-Occidentale
Gammerages; Galmaarden; Commune; Province du Brabant flamand
Gand; Gent; Ville; Province de Flandre-Orientale
Gavre; Gavere; Commune; Province de Flandre-Orientale
Geel; Geel; Ville; Province d'Anvers
Geetbets; Geetbets; Commune; Province du Brabant flamand
Genk; Genk; Ville; Province de Limbourg
Gingelom; Gingelom; Commune; Province de Limbourg
Gistel; Gistel; Ville; Province de Flandre-Occidentale
Glabbeek; Glabbeek; Commune; Province du Brabant flamand
Gooik; Gooik; Commune; Province du Brabant flamand
Grammont; Geraardsbergen; Ville; Province de Flandre-Orientale
Grimbergen; Grimbergen; Commune; Province du Brabant flamand
Grobbendonk; Grobbendonk; Commune; Province d'Anvers
Haecht; Haacht; Commune; Province du Brabant flamand
Haaltert; Haaltert; Commune; Province de Flandre-Orientale
Hal; Halle; Ville; Province du Brabant flamand
Halen; Halen; Ville; Province de Limbourg
Ham; Ham; Commune; Province de Limbourg
Hamme; Hamme; Commune; Province de Flandre-Orientale
Hamont-Achel; Hamont-Achel; Ville; Province de Limbourg
Harelbeke; Harelbeke; Ville; Province de Flandre-Occidentale
Hasselt; Hasselt; Ville; Province de Limbourg
Hautem-Saint-Liévin; Sint-Lievens-Houtem; Commune; Province de Flandre-Orientale
Hechtel-Eksel; Hechtel-Eksel; Commune; Province de Limbourg
Heers; Heers; Commune; Province de Limbourg
Heist-sur-la-Montagne; Heist-op-den-Berg; Commune; Province d'Anvers
Hemiksem; Hemiksem; Commune; Province d'Anvers
Herck-la-Ville; Herk-de-Stad; Ville; Province de Limbourg
Herent; Herent; Commune; Province du Brabant flamand
Herentals; Herentals; Ville; Province d'Anvers
Herenthout; Herenthout; Commune; Province d'Anvers
Hérinnes; Herne; Commune; Province du Brabant flamand
Herselt; Herselt; Commune; Province d'Anvers
Herstappe; Herstappe; Commune à facilités; Province de Limbourg
Herzele; Herzele; Commune; Province de Flandre-Orientale
Heusden-Zolder; Heusden-Zolder; Commune; Province de Limbourg
Heuvelland; Heuvelland; Commune; Province de Flandre-Occidentale
Hoegaarden; Hoegaarden; Commune; Province du Brabant flamand
Hoeilaert; Hoeilaart; Commune; Province du Brabant flamand
Hoeselt; Hoeselt; Commune; Province de Limbourg
Holsbeek; Holsbeek; Commune; Province du Brabant flamand
Hooglede; Hooglede; Commune; Province de Flandre-Occidentale
Hoogstraten; Hoogstraten; Ville; Province d'Anvers
Horebeke; Horebeke; Commune; Province de Flandre-Orientale
Houthalen-Helchteren; Houthalen-Helchteren; Commune; Province de Limbourg
Houthulst; Houthulst; Commune; Province de Flandre-Occidentale
Hove; Hove; Commune; Province d'Anvers
Huldenberg; Huldenberg; Commune; Province du Brabant flamand
Hulshout; Hulshout; Commune; Province d'Anvers
Ichtegem; Ichtegem; Commune; Province de Flandre-Occidentale
Ingelmunster; Ingelmunster; Commune; Province de Flandre-Occidentale
Iseghem; Izegem; Ville; Province de Flandre-Occidentale
Jabbeke; Jabbeke; Commune; Province de Flandre-Occidentale
Kampenhout; Kampenhout; Commune; Province du Brabant flamand
Kapellen; Kapellen; Commune; Province d'Anvers
Kapelle-op-den-Bos; Kapelle-op-den-Bos; Commune; Province du Brabant flamand
Kaprijke; Kaprijke; Commune; Province de Flandre-Orientale
Kasterlee; Kasterlee; Commune; Province d'Anvers
