Aiseau-Presles; Aiseau-Presles; Commune; Province de Hainaut
Amay; Amay; Commune; Province de Liège
Amblève; Amel; Commune à facilités; Province de Liège
Andenne; Andenne; Ville; Province de Namur
Anderlues; Anderlues; Commune; Province de Hainaut
Anhée; Anhée; Commune; Province de Namur
Ans; Ans; Commune; Province de Liège
Anthisnes; Anthisnes; Commune; Province de Liège
Antoing; Antoing; Ville; Province de Hainaut
Arlon; Aarlen; Ville; Province de Luxembourg
Assesse; Assesse; Commune; Province de Namur
Ath; Aat; Ville; Province de Hainaut
Attert; Attert; Commune; Province de Luxembourg
Aubange; Aubange; Ville[2],[3]; Province de Luxembourg
Aubel; Aubel; Commune; Province de Liège
Awans; Awans; Commune; Province de Liège
Aywaille; Aywaille; Commune; Province de Liège
Baelen; Baelen; Commune à facilités; Province de Liège
Bassenge; Bitsingen; Commune; Province de Liège
Bastogne; Bastenaken; Ville; Province de Luxembourg
Beaumont; Beaumont; Ville; Province de Hainaut
Beauraing; Beauraing; Ville; Province de Namur
Beauvechain; Bevekom; Commune; Province du Brabant wallon
Belœil; Belœil; Commune; Province de Hainaut
Berloz; Berloz; Commune; Province de Liège
Bernissart; Bernissart; Commune; Province de Hainaut
Bertogne; Bertogne; Commune; Province de Luxembourg
Bertrix; Bertrix; Commune; Province de Luxembourg
Beyne-Heusay; Beyne-Heusay; Commune; Province de Liège
Bièvre; Bièvre; Commune; Province de Namur
Binche; Binche; Ville; Province de Hainaut
Blegny; Blegny; Commune; Province de Liège
Bouillon; Bouillon; Ville; Province de Luxembourg
Boussu; Boussu; Commune; Province de Hainaut
Braine-l'Alleud; Eigenbrakel; Commune; Province du Brabant wallon
Braine-le-Château; Kasteelbrakel; Commune; Province du Brabant wallon
Braine-le-Comte; 's-Gravenbrakel; Ville; Province de Hainaut
Braives; Braives; Commune; Province de Liège
Brugelette; Brugelette; Commune; Province de Hainaut
Brunehaut; Brunehaut; Commune; Province de Hainaut
Bullange; Büllingen; Commune à facilités; Province de Liège
Burdinne; Burdinne; Commune; Province de Liège
Burg-Reuland; Burg-Reuland; Commune à facilités; Province de Liège
Butgenbach; Bütgenbach; Commune à facilités; Province de Liège
Celles; Celles; Commune; Province de Hainaut
Cerfontaine; Cerfontaine; Commune; Province de Namur
Chapelle-lez-Herlaimont; Chapelle-lez-Herlaimont; Commune; Province de Hainaut
Charleroi; Charleroi; Ville; Province de Hainaut
Chastre; Chastre; Commune; Province du Brabant wallon
Châtelet; Châtelet; Ville; Province de Hainaut
Chaudfontaine; Chaudfontaine; Commune; Province de Liège
Chaumont-Gistoux; Chaumont-Gistoux; Commune; Province du Brabant wallon
Chièvres; Chièvres; Ville; Province de Hainaut
Chimay; Chimay; Ville; Province de Hainaut
Chiny; Chiny; Ville; Province de Luxembourg
Ciney; Ciney; Ville; Province de Namur
Clavier; Clavier; Commune; Province de Liège
Colfontaine; Colfontaine; Commune; Province de Hainaut
Comblain-au-Pont; Comblain-au-Pont; Commune; Province de Liège
